assessor_objectid,parcelid,name,address,adrcity,lat,lon,parcel_count,review_reason
1603626,400-28600-003-000E,GOSPEL LIGHT BAPTIST CHURCH INC,MAGNOLIA & HOLLY ST,HOT SPRINGS,34.526773331245245,-93.05278316262293,3,assessor_included_on_map
1603976,400-00350-001-000E,NEW TESTAMENT BAPTIST CHURCH,400  AUTUMN ST,HOT SPRINGS,34.51180434964232,-93.0395039897661,1,assessor_included_on_map
1603986,300-13224-000E,LAKESHORE HEIGHTS BAPTIST CHURCH,LAKESHORE & CHAPPEL HILL,HOT SPRINGS,34.46632531595145,-93.10230296948994,2,assessor_included_on_map
1604055,400-33250-016-000C,UNION MISSIONARY BAPTIST CHURCH,207  PLEASANT ST,HOT SPRINGS,34.50813918820073,-93.04811410437293,2,assessor_included_on_map
1604097,400-27300-009-000,ROMAN CATHOLIC DIOCESE OF LR,101  WHITTINGTON AVE,HOT SPRINGS,34.51771758288566,-93.05663187429434,1,assessor_included_on_map
1604481,400-26400-010-000,NEW FAITH CHRISTIAN MINISTRIES &,219  PALMETTO ST,HOT SPRINGS,34.505649423200516,-93.04304388219703,2,assessor_included_on_map
1604733,400-32850-008-000,UNION MISSIONARY BAPTIST CHURCH,GROVE & PLEASANT,HOT SPRINGS,34.50699131077345,-93.04743905253733,1,assessor_included_on_map
1604871,400-34600-003-000,FIRST UNITED METHODIST CHURCH,ORANGE & WOODBINE ST,HOT SPRINGS,34.50459890904443,-93.05631416851105,4,assessor_included_on_map
1605028,300-06406-000C,GOSPEL LIGHT BAPTIST CHURCH,HOBSON AVE,HOT SPRINGS,34.497306304394776,-93.06445579049577,4,assessor_included_on_map
1605498,400-60400-001-000E,ST JOHN'S CATHOLIC CHURCH,W GRAND AVE,HOT SPRINGS,34.501341637941756,-93.06129568571046,1,assessor_included_on_map
1605662,400-52450-002-000E,TEMPLE BAPTIST CHURCH,2001  HOBSON AVE,HOT SPRINGS,34.4980046992749,-93.08633301925732,1,assessor_included_on_map
1606305,400-29500-001-000E,ST THOMAS CHAPEL BAPTIST CHURCH,347  GROVE ST,HOT SPRINGS,34.508242946690565,-93.04399484586888,1,assessor_included_on_map
1606617,300-08062-000,WESTMINISTER PRESBY CHURCH,3819  CENTRAL AVE,HOT SPRINGS,34.46187539760952,-93.06038383318153,1,assessor_included_on_map
1607038,300-06800-000,"FREEMAN, CHRISTIAN",105  SONNET ST,HOT SPRINGS,34.490001410211484,-93.0625649275087,1,assessor_included_on_map
1608558,400-33500-002-000E,VISITORS CHAPEL AME CHURCH,317  CHURCH ST,HOT SPRINGS,34.50879919063068,-93.05037321189778,1,assessor_included_on_map
