stop,route,route_stop,filmed,church_id,name,address,denomination,shot_status,confidence,lat,lon,maps_link,visited,notes
24,Route 03 — Central Hot Springs (14 stops),3,,hs-0068,LIVING WATERS CHURCH OF GOD IN,110  DAISY ST,Pentecostal,pending,low,34.507032,-93.045251,"https://www.google.com/maps/dir/?api=1&destination=34.507031672083336,-93.04525136691441",,
25,Route 03 — Central Hot Springs (14 stops),4,,hs-0111,ST THOMAS CHAPEL BAPTIST CHURCH,347  GROVE ST,Baptist,pending,low,34.508243,-93.043995,"https://www.google.com/maps/dir/?api=1&destination=34.508242946690565,-93.04399484586888",,
26,Route 03 — Central Hot Springs (14 stops),5,,hs-0009,Church of Christ,GROVE ST,Church of Christ,pending,medium,34.508423,-93.041568,"https://www.google.com/maps/dir/?api=1&destination=34.5084226,-93.0415678",,
27,Route 03 — Central Hot Springs (14 stops),6,,hs-0061,LAKEPOINTE CHURCH,GROVE ST,Unknown,pending,low,34.508733,-93.039213,"https://www.google.com/maps/dir/?api=1&destination=34.508732684407505,-93.03921327855892",,
28,Route 03 — Central Hot Springs (14 stops),7,,hs-0020,COTTRELL CHAPEL CHRISTIAN,698 E GRAND AVE,Unknown,pending,low,34.510500,-93.040520,"https://www.google.com/maps/dir/?api=1&destination=34.510500034842124,-93.04051990089465",,
29,Route 03 — Central Hot Springs (14 stops),8,,hs-0076,NEW TESTAMENT BAPTIST CHURCH,400  AUTUMN ST,Baptist,pending,low,34.511804,-93.039504,"https://www.google.com/maps/dir/?api=1&destination=34.51180434964232,-93.0395039897661",,
30,Route 03 — Central Hot Springs (14 stops),9,,hs-0023,East Side Pentecostal Church,,Pentecostal,pending,low,34.512312,-93.038512,"https://www.google.com/maps/dir/?api=1&destination=34.5123116,-93.0385121",,
31,Route 03 — Central Hot Springs (14 stops),10,,hs-0116,Tigert Memorial Methodist Church,,Methodist,pending,low,34.513427,-93.036568,"https://www.google.com/maps/dir/?api=1&destination=34.5134267,-93.0365679",,
32,Route 03 — Central Hot Springs (14 stops),11,,hs-0022,East Side Church,,Unknown,pending,low,34.514256,-93.036012,"https://www.google.com/maps/dir/?api=1&destination=34.5142561,-93.036012",,
33,Route 03 — Central Hot Springs (14 stops),12,,hs-0118,United Universal Congregation,101 Tennessee Street,Catholic,pending,low,34.516056,-93.035238,"https://www.google.com/maps/dir/?api=1&destination=34.5160555,-93.0352379",,
34,Route 03 — Central Hot Springs (14 stops),13,,hs-0051,GRAND AVENUE BAPTIST CHURCH,701 E GRAND AVE,Baptist,pending,low,34.511710,-93.041813,"https://www.google.com/maps/dir/?api=1&destination=34.51171016799945,-93.04181345553016",,
35,Route 03 — Central Hot Springs (14 stops),14,,hs-0117,Union Missionary Baptist Church,219 Gulpha Street,Baptist,pending,medium,34.508700,-93.048513,"https://www.google.com/maps/dir/?api=1&destination=34.5087004,-93.0485125",,
36,Route 04 — Central Hot Springs (24 stops),1,,hs-0021,CREATIVE LIFE CHURCH,229  BAYARD ST,Unknown,pending,low,34.485141,-93.047439,"https://www.google.com/maps/dir/?api=1&destination=34.48514117016819,-93.04743867772106",,
37,Route 04 — Central Hot Springs (24 stops),2,,hs-0042,FIRST PRIMITIVE BAPTIST CHURCH,VISTA  AVE,Baptist,pending,low,34.492462,-93.044572,"https://www.google.com/maps/dir/?api=1&destination=34.492461616873285,-93.0445716334193",,
38,Route 04 — Central Hot Springs (24 stops),3,,hs-0121,VISTA HEIGHTS BAPTIST CHURCH,308  VISTA  AVE,Baptist,pending,low,34.492894,-93.045224,"https://www.google.com/maps/dir/?api=1&destination=34.492893820551146,-93.04522353455297",,
39,Route 04 — Central Hot Springs (24 stops),4,,hs-0026,EUREKA MISSIONARY BAPT CHURCH,GAINES AVE,Unknown,pending,low,34.496827,-93.046887,"https://www.google.com/maps/dir/?api=1&destination=34.496827328980515,-93.04688746918356",,
40,Route 04 — Central Hot Springs (24 stops),5,,hs-0025,EUREKA BAPTIST CHURCH,721  GAINES AVE,Baptist,pending,low,34.497386,-93.046090,"https://www.google.com/maps/dir/?api=1&destination=34.497386492162065,-93.04609034321521",,
41,Route 04 — Central Hot Springs (24 stops),6,,hs-0001,ANGEL GABRIEL CHURCH OF GOD-CHRIST,155  LEMONS ST,Pentecostal,pending,low,34.500075,-93.045884,"https://www.google.com/maps/dir/?api=1&destination=34.500074541979,-93.04588371062414",,
42,Route 04 — Central Hot Springs (24 stops),7,,hs-0104,SIGNS OF LOVE DEAF CHURCH INC,1024  MALVERN AVE,Unknown,pending,low,34.500821,-93.045236,"https://www.google.com/maps/dir/?api=1&destination=34.50082071287841,-93.04523589397073",,
43,Route 04 — Central Hot Springs (24 stops),8,,hs-0047,GETHSEMANE MISSIONARY BAP CHURCH,120  BLAKE ST,Unknown,pending,low,34.499024,-93.043248,"https://www.google.com/maps/dir/?api=1&destination=34.49902438547725,-93.04324770868618",,
44,Route 04 — Central Hot Springs (24 stops),9,,hs-0073,NAZARENE BAPTIST CHURCH,220  SILVER ST,Baptist,pending,low,34.503255,-93.044213,"https://www.google.com/maps/dir/?api=1&destination=34.50325466115601,-93.0442127775308",,
45,Route 04 — Central Hot Springs (24 stops),10,,hs-0103,Sharon Seventh-day Adventist Church,223 Silver Street,Adventist,pending,medium,34.504025,-93.044498,"https://www.google.com/maps/dir/?api=1&destination=34.5040247,-93.0444982",,
46,Route 04 — Central Hot Springs (24 stops),11,,hs-0071,Mount Zion African Methodist Episcopal Church,205  SILVER ST,Methodist,pending,medium,34.503700,-93.045179,"https://www.google.com/maps/dir/?api=1&destination=34.5037004,-93.0451791",,
47,Route 04 — Central Hot Springs (24 stops),12,,hs-0016,CHURCH OF JEHOVAH APOSTOLIC,PLEASANT & SILVER ST,Unknown,pending,low,34.503439,-93.045686,"https://www.google.com/maps/dir/?api=1&destination=34.503439207792816,-93.04568612803531",,
48,Route 04 — Central Hot Springs (24 stops),13,,hs-0038,First Pentecostal Church,222 E GRAND AVE,Pentecostal,pending,medium,34.504256,-93.046290,"https://www.google.com/maps/dir/?api=1&destination=34.504256,-93.0462902",,
49,Route 04 — Central Hot Springs (24 stops),14,,hs-0074,NEW FAITH CHRISTIAN MINISTRIES &,219  PALMETTO ST,Unknown,pending,low,34.505649,-93.043044,"https://www.google.com/maps/dir/?api=1&destination=34.505649423200516,-93.04304388219703",,
50,Route 04 — Central Hot Springs (24 stops),15,,hs-0109,ST MARK MISSIONARY BAPT CHURCH,540  CRESCENT AVE,Unknown,pending,low,34.504835,-93.039887,"https://www.google.com/maps/dir/?api=1&destination=34.50483474196648,-93.03988691595869",,
51,Route 04 — Central Hot Springs (24 stops),16,,hs-0096,Saint Mary Baptist Church,,Baptist,pending,low,34.504812,-93.039623,"https://www.google.com/maps/dir/?api=1&destination=34.5048115,-93.0396232",,
52,Route 04 — Central Hot Springs (24 stops),17,,hs-0053,GREATER ST PAUL BAPTIST,497  CRESCENT AVE,Baptist,pending,low,34.503101,-93.038703,"https://www.google.com/maps/dir/?api=1&destination=34.503101102938814,-93.03870315681331",,
53,Route 04 — Central Hot Springs (24 stops),18,,hs-0010,CHURCH OF CHRIST,104  PORTLAND ST,Church of Christ,pending,low,34.503503,-93.036989,"https://www.google.com/maps/dir/?api=1&destination=34.50350287041141,-93.03698937639558",,
54,Route 04 — Central Hot Springs (24 stops),19,,hs-0123,WOODRIDGE CHURCH OF CHRIST,133  WOODRIDGE ST,Church of Christ,pending,low,34.501063,-93.037939,"https://www.google.com/maps/dir/?api=1&destination=34.50106277440893,-93.03793896497997",,
55,Route 04 — Central Hot Springs (24 stops),20,,hs-0019,CONES ROAD MISSIONARY BAPTIST,401  CONES RD,Baptist,pending,low,34.496643,-93.032700,"https://www.google.com/maps/dir/?api=1&destination=34.49664255926638,-93.03270006524964",,
56,Route 04 — Central Hot Springs (24 stops),21,,hs-0048,GETHSEMANE MISSIONARY BAP CHURCH,201  BOAZ ST,Unknown,pending,low,34.495749,-93.032786,"https://www.google.com/maps/dir/?api=1&destination=34.49574945767038,-93.03278588674422",,
57,Route 04 — Central Hot Springs (24 stops),22,,hs-0105,"SOULS HARBOR CHURCH, TRUSTEES",600  CONES RD,Unknown,pending,low,34.496525,-93.029041,"https://www.google.com/maps/dir/?api=1&destination=34.49652461230749,-93.0290405635413",,
58,Route 04 — Central Hot Springs (24 stops),23,,hs-0060,JESUS IS THE KING CHURCH,121  YERGER ST,Unknown,pending,low,34.502755,-93.029847,"https://www.google.com/maps/dir/?api=1&destination=34.5027546758928,-93.02984718496513",,
59,Route 04 — Central Hot Springs (24 stops),24,,hs-0095,SAINT MARK'S BAPTIST CHURCH,PORTLAND ST,Baptist,pending,low,34.504471,-93.030735,"https://www.google.com/maps/dir/?api=1&destination=34.50447052647944,-93.03073510679897",,
60,Route 05 — Central Hot Springs (27 stops),1,,hs-0014,Church of God,,Pentecostal,pending,low,34.485645,-93.064346,"https://www.google.com/maps/dir/?api=1&destination=34.485645,-93.0643463",,
61,Route 05 — Central Hot Springs (27 stops),2,,hs-0029,FIRST BAPTIST CHURCH OF HOT,CENTRAL & CRESTWOOD,Baptist,pending,medium,34.488048,-93.060058,"https://www.google.com/maps/dir/?api=1&destination=34.48804818682049,-93.06005805598211",,
62,Route 05 — Central Hot Springs (27 stops),3,,hs-0045,"FREEMAN, CHRISTIAN",105  SONNET ST,Unknown,pending,low,34.490001,-93.062565,"https://www.google.com/maps/dir/?api=1&destination=34.490001410211484,-93.0625649275087",,
63,Route 05 — Central Hot Springs (27 stops),4,,hs-0090,ROMAN CATHOLIC DIOCESE OF LR,SCHOOL ST,Catholic,pending,low,34.493886,-93.062120,"https://www.google.com/maps/dir/?api=1&destination=34.49388643562881,-93.06212033720954",,
64,Route 05 — Central Hot Springs (27 stops),5,,hs-0030,First Christian Church,1806 Central Avenue,Unknown,pending,medium,34.495095,-93.058234,"https://www.google.com/maps/dir/?api=1&destination=34.4950945,-93.0582345",,
65,Route 05 — Central Hot Springs (27 stops),6,,hs-0099,Saint Marys Greek Orthodox Church,,Orthodox,pending,low,34.494811,-93.056568,"https://www.google.com/maps/dir/?api=1&destination=34.4948115,-93.0565684",,
66,Route 05 — Central Hot Springs (27 stops),7,,hs-0083,Prince of Peace Lutheran Church,109 Hobson Avenue,Lutheran,pending,low,34.497040,-93.054346,"https://www.google.com/maps/dir/?api=1&destination=34.4970398,-93.0543464",,
67,Route 05 — Central Hot Springs (27 stops),8,,hs-0004,CHAMPION CHRISTIAN COLLEGE,109 W BELDING ST,Unknown,pending,low,34.495227,-93.050311,"https://www.google.com/maps/dir/?api=1&destination=34.49522728760935,-93.05031117248026",,
68,Route 05 — Central Hot Springs (27 stops),9,,hs-0114,THE GARAGE CHURCH OF HOT SPRINGS,122  SANFORD ST,Unknown,pending,low,34.500514,-93.052366,"https://www.google.com/maps/dir/?api=1&destination=34.50051412153587,-93.05236609949863",,
69,Route 05 — Central Hot Springs (27 stops),10,,hs-0113,Temple Pentecostal Church,CHERRY ST,Pentecostal,pending,medium,34.502589,-93.052124,"https://www.google.com/maps/dir/?api=1&destination=34.5025893,-93.0521238",,
70,Route 05 — Central Hot Springs (27 stops),11,yes,hs-0002,Central Baptist Church,1035 Central Avenue,Baptist,filmed,high,34.505369,-93.054627,"https://www.google.com/maps/dir/?api=1&destination=34.5053694,-93.0546274",,
71,Route 05 — Central Hot Springs (27 stops),12,,hs-0043,First United Methodist Church,ORANGE & WOODBINE ST,Methodist,pending,medium,34.504984,-93.055555,"https://www.google.com/maps/dir/?api=1&destination=34.5049841,-93.0555555",,
72,Route 05 — Central Hot Springs (27 stops),13,,hs-0032,First Church of Christ Scientist,,Church of Christ,pending,low,34.505645,-93.056293,"https://www.google.com/maps/dir/?api=1&destination=34.5056452,-93.0562926",,
73,Route 05 — Central Hot Springs (27 stops),14,,hs-0033,First Church of God,,Pentecostal,pending,low,34.503979,-93.056295,"https://www.google.com/maps/dir/?api=1&destination=34.5039789,-93.0562947",,
74,Route 05 — Central Hot Springs (27 stops),15,,hs-0013,Church of Christ,,Church of Christ,pending,low,34.503420,-93.059069,"https://www.google.com/maps/dir/?api=1&destination=34.5034205,-93.0590692",,
75,Route 05 — Central Hot Springs (27 stops),16,,hs-0089,ROMAN CATHOLIC DIOCESE OF LR,541 W GRAND AVE,Catholic,pending,low,34.502197,-93.060109,"https://www.google.com/maps/dir/?api=1&destination=34.50219665847262,-93.06010934416871",,
76,Route 05 — Central Hot Springs (27 stops),17,,hs-0092,Saint John Catholic Church,589 West Grand Avenue,Catholic,pending,medium,34.501969,-93.061622,"https://www.google.com/maps/dir/?api=1&destination=34.5019691,-93.061622",,
77,Route 05 — Central Hot Springs (27 stops),18,,hs-0108,ST JOHN'S CATHOLIC CHURCH,W GRAND AVE,Catholic,pending,low,34.501342,-93.061296,"https://www.google.com/maps/dir/?api=1&destination=34.501341637941756,-93.06129568571046",,
78,Route 05 — Central Hot Springs (27 stops),19,,hs-0101,SAINT PAUL AME CHURCH,332  GARLAND AVE,Unknown,pending,low,34.500110,-93.062427,"https://www.google.com/maps/dir/?api=1&destination=34.50010951605481,-93.06242699479388",,
79,Route 05 — Central Hot Springs (27 stops),20,,hs-0100,Saint Paul African Methodist Episcopal Church,,Methodist,pending,low,34.499811,-93.062124,"https://www.google.com/maps/dir/?api=1&destination=34.4998114,-93.0621242",,
80,Route 05 — Central Hot Springs (27 stops),21,,hs-0102,Second Baptist Church,,Baptist,pending,low,34.500325,-93.065184,"https://www.google.com/maps/dir/?api=1&destination=34.5003251,-93.0651841",,
81,Route 05 — Central Hot Springs (27 stops),22,,hs-0049,GOSPEL LIGHT BAPTIST CHURCH INC,521  GARLAND AVE,Baptist,pending,low,34.498944,-93.065330,"https://www.google.com/maps/dir/?api=1&destination=34.498944311794574,-93.06532955390115",,
82,Route 05 — Central Hot Springs (27 stops),23,,hs-0005,CHAMPION CHRISTIAN COLLEGE INC,511  RECTOR ST,Unknown,pending,low,34.498699,-93.066160,"https://www.google.com/maps/dir/?api=1&destination=34.49869944541698,-93.06615984730975",,
83,Route 05 — Central Hot Springs (27 stops),24,,hs-0017,"CHURCH OF THE OPEN DOOR, THE",700  SOUTH ST,Unknown,pending,low,34.497433,-93.069016,"https://www.google.com/maps/dir/?api=1&destination=34.49743347429028,-93.06901626420778",,
84,Route 05 — Central Hot Springs (27 stops),25,,hs-0052,Grand Avenue United Methodist Church,841 Quapaw Avenue,Methodist,pending,medium,34.502310,-93.066022,"https://www.google.com/maps/dir/?api=1&destination=34.50231,-93.0660215",,
85,Route 05 — Central Hot Springs (27 stops),26,,hs-0036,FIRST FREE WILL BAPTIST CHURCH,901 W ST LOUIS ST,Baptist,pending,medium,34.490517,-93.068928,"https://www.google.com/maps/dir/?api=1&destination=34.49051718257387,-93.06892781915003",,
86,Route 05 — Central Hot Springs (27 stops),27,,hs-0008,Christ Anglican Church,504 Trivista Left Street,Episcopal,pending,low,34.489741,-93.051928,"https://www.google.com/maps/dir/?api=1&destination=34.4897411,-93.051928",,
87,Route 06 — South West (11 stops),1,,hs-0041,FIRST PRIMITIVE BAPTIST CHURCH,543  HAMMOND DR,Baptist,pending,low,34.489323,-93.090618,"https://www.google.com/maps/dir/?api=1&destination=34.489323435884266,-93.09061824609061",,
